ID;Gebruiksfunctie;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
144611;A045364;GM1900;2013JJ00;37852;126;108;10;381;49;-108;37744
144628;A045364;GM1900;2014JJ00;38448;91;666;206;60;0;491;38939
144645;A045364;GM1900;2015JJ00;38939;157;61;63;46;-35;74;39013
144662;A045364;GM1900;2016JJ00;39013;174;101;71;103;3;104;39117
144679;A045364;GM1900;2017JJ00;39117;209;128;12;169;1;157;39274
144696;A045364;GM1900;2018JJ00;41599;333;106;25;99;1;316;41915
144713;A045364;GM1900;2019JJ00;41915;204;56;27;24;-5;204;42119
144730;A045364;GM1900;2020JJ00;42119;328;127;53;19;-1;382;42501
144755;A045364;GM0715;2012JJ00;25924;147;37;59;43;96;178;26102
144772;A045364;GM0715;2013JJ00;26102;148;111;47;32;5;185;26287
144789;A045364;GM0715;2014JJ00;26287;79;24;21;15;5;72;26359
144806;A045364;GM0715;2015JJ00;26359;50;311;27;18;0;316;26675
144823;A045364;GM0715;2016JJ00;26675;81;22;8;18;2;79;26754
144840;A045364;GM0715;2017JJ00;26754;127;28;87;9;-1;58;26812
144857;A045364;GM0715;2018JJ00;26812;235;31;102;25;1;140;26952
144874;A045364;GM0715;2019JJ00;26952;115;29;43;87;0;14;26966
144891;A045364;GM0715;2020JJ00;26966;141;44;42;30;1;114;27080
144916;A045364;GM0093;2012JJ00;2156;52;5;1;3;1;54;2210
144933;A045364;GM0093;2013JJ00;2210;4;5;1;5;0;3;2213
144950;A045364;GM0093;2014JJ00;2213;6;11;1;8;1;9;2222
144967;A045364;GM0093;2015JJ00;2222;2;22;3;14;0;7;2229
144984;A045364;GM0093;2016JJ00;2229;24;23;3;30;0;14;2243
145001;A045364;GM0093;2017JJ00;2243;28;45;0;40;0;33;2276
145018;A045364;GM0093;2018JJ00;2276;1;26;0;22;0;5;2281
145035;A045364;GM0093;2019JJ00;2281;9;18;0;15;0;12;2293
145052;A045364;GM0093;2020JJ00;2293;0;18;4;15;1;0;2293
145077;A045364;GM0448;2012JJ00;6249;8;19;3;16;24;32;6281
145094;A045364;GM0448;2013JJ00;6281;15;115;3;7;0;120;6401
145111;A045364;GM0448;2014JJ00;6401;7;5;5;5;2;4;6405
145128;A045364;GM0448;2015JJ00;6405;74;7;12;4;0;65;6470
145145;A045364;GM0448;2016JJ00;6470;32;6;4;2;-1;31;6501
145162;A045364;GM0448;2017JJ00;6501;49;33;26;5;0;51;6552
145179;A045364;GM0448;2018JJ00;6552;76;9;9;3;-31;42;6594
145196;A045364;GM0448;2019JJ00;6594;60;22;10;15;0;57;6651
145213;A045364;GM0448;2020JJ00;6651;123;6;8;2;0;119;6770
145238;A045364;GM1525;2012JJ00;14339;24;28;3;42;0;7;14346
145255;A045364;GM1525;2013JJ00;14346;221;154;4;35;5;341;14687
145272;A045364;GM1525;2014JJ00;14687;18;34;6;17;0;29;14716
145289;A045364;GM1525;2015JJ00;14716;258;21;7;36;0;236;14952
145306;A045364;GM1525;2016JJ00;14952;122;38;5;5;-6;144;15096
145323;A045364;GM1525;2017JJ00;15096;347;111;40;5;6;419;15515
145340;A045364;GM1525;2018JJ00;15515;104;15;13;34;1;73;15588
145357;A045364;GM1525;2019JJ00;15588;424;77;36;6;1;460;16048
145374;A045364;GM1525;2020JJ00;16048;178;151;15;75;-1;238;16286
145399;A045364;GM0716;2012JJ00;10352;110;13;19;39;-4;61;10413
145416;A045364;GM0716;2013JJ00;10413;22;100;10;13;3;102;10515
145433;A045364;GM0716;2014JJ00;10515;110;23;45;9;3;82;10597
145450;A045364;GM0716;2015JJ00;10597;51;12;2;31;-1;29;10626
145467;A045364;GM0716;2016JJ00;10626;103;19;1;19;1;103;10729
145484;A045364;GM0716;2017JJ00;10729;49;9;2;8;0;48;10777
145501;A045364;GM0716;2018JJ00;10777;107;25;6;15;0;111;10888
145518;A045364;GM0716;2019JJ00;10888;87;11;2;1;0;95;10983
145535;A045364;GM0716;2020JJ00;10983;116;48;34;1;0;129;11112
145560;A045364;GM0281;2012JJ00;17320;82;78;72;36;74;126;17446
145577;A045364;GM0281;2013JJ00;17446;52;51;7;20;-1;75;17521
145594;A045364;GM0281;2014JJ00;17521;31;130;31;23;14;121;17654
145611;A045364;GM0281;2015JJ00;17654;16;22;8;2;0;28;17682
145628;A045364;GM0281;2016JJ00;17682;196;10;43;4;-2;157;17839
145645;A045364;GM0281;2017JJ00;17839;42;50;21;6;-2;63;17902
145662;A045364;GM0281;2018JJ00;17902;85;34;0;10;0;109;18011
145679;A045364;GM0281;2019JJ00;18011;115;40;83;3;0;69;18080
145696;A045364;GM0281;2020JJ00;18080;158;42;7;2;0;191;18271
145721;A045364;GM0855;2012JJ00;90698;351;318;251;106;2;314;91012
145738;A045364;GM0855;2013JJ00;91012;1880;1305;94;78;47;3060;94072
145755;A045364;GM0855;2014JJ00;94072;1145;245;133;65;0;1192;95264
145772;A045364;GM0855;2015JJ00;95264;862;268;445;167;-3;515;95779
145789;A045364;GM0855;2016JJ00;95779;522;257;134;190;2;457;96235
145806;A045364;GM0855;2017JJ00;96235;967;475;17;53;5;1377;97612
145823;A045364;GM0855;2018JJ00;97612;1097;468;121;52;0;1392;99004
145840;A045364;GM0855;2019JJ00;99004;1243;365;13;146;-35;1414;100418
145857;A045364;GM0855;2020JJ00;100418;1177;353;16;87;38;1465;101883
145882;A045364;GM0183;2012JJ00;7866;47;68;8;16;88;179;8045
145899;A045364;GM0183;2013JJ00;8045;47;46;10;16;1;68;8113
145916;A045364;GM0183;2014JJ00;8113;46;36;12;16;0;54;8167
145933;A045364;GM0183;2015JJ00;8167;36;59;3;14;2;80;8247
145950;A045364;GM0183;2016JJ00;8247;64;65;12;17;1;101;8348
145967;A045364;GM0183;2017JJ00;8348;148;21;17;11;1;142;8490
