Regio's,voorraad_median,voorraad_min,voorraad_max,nieuwbouw_median,nieuwbouw_min,nieuwbouw_max,dif_voorraad,dif_nieuwbouw
Medemblik,18402,17346,19100,160,82,208,10.111841346708175,253.65853658536585
Meerssen,8569,8345,8629,5,1,37,3.4032354703415137,3700.0
Meierijstad,33788,33148,34544,377,312,414,4.211415470013264,132.69230769230768
Menameradiel,5835,5630,5851,7,6,22,3.925399644760219,366.66666666666663
Menterwolde,5406,5369,5411,10,0,59,0.7822685788787567,inf
Meppel,15177,14352,15851,147,28,242,10.444537346711272,864.2857142857142
Middelburg (Z.),23167,22576,23683,106,27,162,4.903437278525871,600.0
Middelharnis,7586,7586,7586,33,33,33,0.0,100.0
Midden-Delfland,7649,7195,7904,100,26,134,9.854065323141057,515.3846153846155
Midden-Drenthe,14045,13950,14378,50,20,145,3.0681003584229245,725.0
Midden-Groningen,28074,28025,28167,139,42,279,0.5066904549509275,664.2857142857143
Mill en Sint Hubert,4511,4378,4627,32,5,57,5.68752855185015,1140.0
Millingen aan de Rijn,2528,2486,2564,38,1,39,3.1375703942075717,3900.0
Moerdijk,16116,15708,16501,102,16,178,5.048382989559457,1112.5
Molenlanden,17182,17160,17205,114,76,152,0.26223776223777406,200.0
Molenwaard,10981,10840,11206,68,39,122,3.3763837638376373,312.8205128205128
Montferland,15281,14625,15917,127,44,231,8.834188034188031,525.0
Montfoort,5572,5350,5740,15,1,83,7.289719626168221,8300.0
Mook en Middelaar,3561,3476,3617,16,7,56,4.056386651323351,800.0
Muiden,2768,2754,2800,1,0,2,1.6702977487291122,inf
Naarden,7540,7517,7666,7,1,119,1.9821737395237449,11900.0
Neder-Betuwe,8391,8048,8867,103,7,171,10.17644135188867,2442.8571428571427
Nederlek,6091,5931,6152,94,50,143,3.7261844545607943,286.0
Nederweert,7165,6916,7457,69,39,92,7.822440717177571,235.8974358974359
Neerijnen,4661,4607,4898,40,4,89,6.316474929455168,2225.0
Nieuw-Lekkerland,3467,3467,3467,19,19,19,0.0,100.0
Nieuwegein,27799,26411,28844,140,18,320,9.2120707281057,1777.7777777777778
Nieuwkoop,10835,10346,11498,161,68,239,11.134738063019526,351.4705882352941
Nijkerk,16131,15519,17321,170,32,326,11.611572910625682,1018.75
Nijmegen,78678,74162,81717,863,472,1411,10.187157843639596,298.9406779661017
Nissewaard,39059,38832,39225,192,46,365,1.0120519159456194,793.4782608695652
Noardeast-Fryslân,20512,20395,20630,166,102,230,1.1522431968619742,225.49019607843138
Noord-Beveland,4347,4096,4460,29,0,89,8.88671875,inf
Noordenveld,14558,14094,14817,58,19,135,5.129842486164321,710.5263157894738
Noordoostpolder,19535,18759,20134,147,61,311,7.329815022122716,509.83606557377044
Noordwijk,12389,12058,19930,54,5,246,65.28445845082103,4920.0
Noordwijkerhout,6922,6428,7156,96,36,217,11.325451151213443,602.7777777777777
"Nuenen, Gerwen en Nederwetten",10017,9449,10285,76,3,159,8.84749708963912,5300.0
Nunspeet,10449,10167,10957,101,29,256,7.770237041408464,882.7586206896551
Nuth,6941,6815,6956,11,1,59,2.068965517241381,5900.0
Oegstgeest,10379,9822,10862,164,10,219,10.588474852372215,2190.0
Oirschot,7437,6906,7965,80,1,120,15.334491746307563,12000.0
Oisterwijk,11178,10768,11619,78,13,151,7.903046062407128,1161.5384615384614
Oldambt,18382,18073,18540,41,13,111,2.5839650307087965,853.8461538461538
Oldebroek,9090,8610,9318,73,37,151,8.22299651567944,408.10810810810807
Oldenzaal,14284,13948,14614,55,10,177,4.774878118726704,1770.0
Olst-Wijhe,7448,7066,7724,65,23,122,9.312199264081514,530.4347826086956
Ommen,7289,6831,8137,77,5,139,19.118723466549554,2780.0
Onderbanken,3654,3636,3658,2,1,4,0.6050605060506058,400.0
Oost Gelre,12692,12288,12910,63,28,99,5.061848958333329,353.57142857142856
Oosterhout,24248,23318,25158,202,16,434,7.890899734110988,2712.5
Oostflakkee,4247,4247,4247,1,1,1,0.0,100.0
Ooststellingwerf,11172,11137,11303,18,0,168,1.490527071922429,inf
Oostzaan,4048,3878,4108,24,4,118,5.930892212480671,2950.0
Opmeer,4680,4562,4852,39,3,124,6.356861025865854,4133.333333333334
Opsterland,12873,12460,13064,81,22,164,4.847512038523277,745.4545454545454
Oss,38831,35396,40325,333,195,417,13.925302294044513,213.84615384615384
Oud-Beijerland,9827,9515,10187,87,14,238,7.062532842879648,1700.0
Oude IJsselstreek,17252,16689,17401,72,29,115,4.266283180538082,396.55172413793105
Ouder-Amstel,5851,5733,6296,54,1,134,9.820338391766967,13400.0
Ouderkerk,3249,3188,3265,29,28,73,2.415307402760348,260.7142857142857
Oudewater,4270,3989,4372,31,11,108,9.6014038606167,981.8181818181819
Overbetuwe,19251,18190,19947,154,114,237,9.659153380978552,207.89473684210526
Papendrecht,14251,13938,14397,47,1,93,3.2931554024967795,9300.0
Peel en Maas,18001,17198,18399,147,53,242,6.983370159320842,456.6037735849057
Pekela,5774,5648,5777,5,2,15,2.2839943342776223,750.0
Pijnacker-Nootdorp,20135,19154,21536,268,67,412,12.436044690404088,614.9253731343283
